Reading symbols from level03...
Dump of assembler code for function post_blog_article:
   0x08049f20 <+0>:	push   ebp
   0x0804a010 <+240>:	mov    DWORD PTR [esp],eax
   0x0804a013 <+243>:	call   0x8048f40 <__sprintf_chk@plt>
   0x0804a018 <+248>:	add    ebx,eax
   0x0804a01a <+250>:	lea    eax,[edi+ebx*1]
   0x0804a01d <+253>:	mov    WORD PTR [eax],0xa0d
   0x0804a022 <+258>:	lea    esi,[ebx+0x2]
   0x0804a025 <+261>:	mov    BYTE PTR [eax+0x2],0x0
   0x0804a029 <+265>:	mov    ebx,DWORD PTR ds:0x804be00
   0x0804a02f <+271>:	lea    eax,[edi+esi*1]
   0x0804a032 <+274>:	mov    edx,DWORD PTR ds:0x804be04
   0x0804a038 <+280>:	mov    DWORD PTR [esp],eax
   0x0804a03b <+283>:	mov    DWORD PTR [esp+0x8],ebx
   0x0804a03f <+287>:	add    ebx,esi
   0x0804a041 <+289>:	mov    DWORD PTR [esp+0x4],edx
   0x0804a045 <+293>:	call   0x8048e60 <memcpy@plt>
   0x0804a04a <+298>:	lea    eax,[edi+ebx*1]
   0x0804a04d <+301>:	add    ebx,0x2
   0x0804a050 <+304>:	mov    WORD PTR [eax],0xa0d
   0x0804a055 <+309>:	mov    BYTE PTR [eax+0x2],0x0
   0x0804a059 <+313>:	mov    edx,DWORD PTR ds:0x804bdf4
   0x0804a05f <+319>:	lea    eax,[edi+ebx*1]
   0x0804a062 <+322>:	mov    esi,DWORD PTR ds:0x804bdec
   0x0804a068 <+328>:	mov    DWORD PTR [esp],eax
   0x0804a06b <+331>:	mov    DWORD PTR [esp+0x4],edx
   0x0804a06f <+335>:	mov    DWORD PTR [esp+0x8],esi
   0x0804a073 <+339>:	call   0x8048e60 <memcpy@plt>
   0x0804a078 <+344>:	mov    edx,DWORD PTR ds:0x804bdfc
   0x0804a07e <+350>:	mov    DWORD PTR [esp+0x4],0x3a
   0x0804a086 <+358>:	mov    DWORD PTR [esp],edx
   0x0804a089 <+361>:	mov    DWORD PTR [esp+0x2c],edx
   0x0804a08d <+365>:	call   0x8048d10 <strchr@plt>
   0x0804a092 <+370>:	mov    edx,DWORD PTR [esp+0x2c]
   0x0804a096 <+374>:	test   eax,eax
   0x0804a098 <+376>:	mov    ebp,eax
   0x0804a09a <+378>:	je     0x804a181 <post_blog_article+609>
   0x0804a0a0 <+384>:	mov    BYTE PTR [eax],0x0
   0x0804a0a3 <+387>:	mov    eax,ds:0x804bdfc
   0x0804a0a8 <+392>:	add    ebp,0x1
   0x0804a0ab <+395>:	mov    DWORD PTR [esp+0x30],0x0
Quit
Undefined command: "exit".  Try "help".
